Wavelength [nm],Compound_1,Compound_2,Compound_3,Compound_4
525,1.16960633189067,1.22917929211527,1.43421484423623,1.44818508424182
526,1.15561451354716,1.2348784733415,1.43966912222335,1.46108977535514
527,1.14759589731428,1.26092450518987,1.45557931900737,1.46347456227288
528,1.13907333847157,1.22583972664561,1.45798961197678,1.44984720845722
529,1.14268986778917,1.20854877183934,1.42750449808195,1.44947555335315
530,1.12196893342029,1.21448004641867,1.39363592128639,1.41518004625041
531,1.08891622695204,1.15127328992328,1.35796811171086,1.3791914436736
532,1.03499436770024,1.10858100702727,1.31996922067194,1.34149942186984
533,1.01617062903895,1.11292631036039,1.28341876860056,1.29602329038652
534,0.959062073872058,1.05342015343949,1.23291577553722,1.23481375949785
535,0.904873421473884,0.975604409773709,1.16779260164534,1.16498389494549
536,0.890585166301061,0.945483850170846,1.15412295888923,1.162764288074
537,0.871242663188475,0.927896331635613,1.11538853243711,1.10971052196895
538,0.833269105353649,0.880136677196828,1.05024272668636,1.05543855302279
539,0.812118337582261,0.833124879118045,0.976915503954917,0.979879005616122
540,0.755158000830023,0.80618915608278,0.956388407961888,0.968017013544764
541,0.759737949842889,0.81075365869383,0.927238573740254,0.93035596299967
542,0.72905673800913,0.755541228805364,0.875422932862591,0.878365543442352
543,0.699813244797534,0.732241634968732,0.849962091636396,0.863592253055831
544,0.662313985889607,0.718715750112823,0.820472779531747,0.838980426164519
545,0.651627438192921,0.686261362903746,0.782915209740752,0.785420796167823
546,0.608821960040315,0.656372896653987,0.729040069706125,0.755430294020482
547,0.598713464160787,0.632634904261492,0.723246313835987,0.718151222332342
548,0.564223039070374,0.603790858100703,0.70070498240373,0.703264370664024
549,0.543828185213731,0.576726194313713,0.667741679962884,0.661071192599934
550,0.546258967214087,0.563638708013668,0.641002138710663,0.657117195242815
